Note,Velocity,time,acc_time
64,96,0.0475,35.69999999999999
60,0,0.1775,35.87749999999999
48,0,0.06,35.93749999999999
53,0,0,35.93749999999999
64,0,0.045,35.982499999999995
60,96,0.0175,35.99999999999999
64,96,0,35.99999999999999
45,96,0,35.99999999999999
52,96,0,35.99999999999999
45,0,1.1375,37.137499999999996
52,0,0,37.137499999999996
48,96,0.0625,37.199999999999996
53,96,0,37.199999999999996
60,0,1.0775000000000001,38.277499999999996
64,0,0,38.277499999999996
48,0,0.06,38.3375
53,0,0,38.3375
57,96,0.0625,38.4
45,96,0,38.4
52,96,0,38.4
57,0,1.1375,39.5375
45,0,0,39.5375
52,0,0,39.5375
57,96,0.0625,39.6
48,96,0,39.6
53,96,0,39.6
57,0,0.8525,40.4525
57,96,0.0475,40.5
48,0,0.23750000000000002,40.7375
53,0,0,40.7375
57,0,0.045,40.7825
57,96,0.0175,40.8
45,96,0,40.8
52,96,0,40.8
57,0,1.1375,41.9375
45,0,0,41.9375
52,0,0,41.9375
60,96,0.0625,42.0
48,96,0,42.0
53,96,0,42.0
60,0,0.8525,42.8525
59,96,0.0475,42.9
48,0,0.23750000000000002,43.137499999999996
53,0,0,43.137499999999996
59,0,0.045,43.1825
59,96,0.0175,43.199999999999996
45,96,0,43.199999999999996
52,96,0,43.199999999999996
59,0,0.8525,44.052499999999995
57,96,0.0475,44.099999999999994
45,0,0.23750000000000002,44.33749999999999
52,0,0,44.33749999999999
57,0,0.045,44.38249999999999
57,96,0.0175,44.39999999999999
48,96,0,44.39999999999999
53,96,0,44.39999999999999
57,0,0.8525,45.25249999999999
57,96,0.0475,45.29999999999999
48,0,0.23750000000000002,45.53749999999999
53,0,0,45.53749999999999
57,0,0.045,45.58249999999999
57,96,0.0175,45.59999999999999
45,96,0,45.59999999999999
52,96,0,45.59999999999999
45,0,1.1375,46.73749999999999
52,0,0,46.73749999999999
48,96,0.0625,46.79999999999999
53,96,0,46.79999999999999
57,0,1.0775000000000001,47.87749999999999
48,0,0.06,47.93749999999999
53,0,0,47.93749999999999
72,96,0.0625,47.99999999999999
81,96,0,47.99999999999999
45,96,0,47.99999999999999
52,96,0,47.99999999999999
81,0,0.5675,48.567499999999995
79,96,0.0325,48.599999999999994
